epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
172	0.3	-0.5323529	-0.41599998	27.617647	71.9	171999	-0.2349606	0.020635623	12094.786633	0.05208432
173	0.1	-0.8209091	-0.804	91.27273	90.5	172999	-0.22723871	0.019398987	12168.3615921	0.047673576
174	0.3	-0.51173913	-0.48599997	47.391304	9.6	173999	-0.22622432	0.019827988	12221.3136802	0.049642295
175	0.5	-0.2385714	-0.24200003	35.392857	54.9	174999	-0.20993216	0.018975997	12289.7435582	0.051173817
176	0.5	-0.2834615	-0.15599999	36.807693	56.2	175999	-0.19668968	0.019064877	12358.5890841	0.051141694
177	0.3	-0.45666668	-0.43699998	66.13333	4.7	176999	-0.19086333	0.019568443	12410.015554	0.049403884
178	0.2	-0.37047613	-0.63799995	9.428572	4.8	177999	-0.19614571	0.020450946	12469.8429291	0.057792146
179	0.3	-0.34575754	-0.412	32.303032	71.5	178999	-0.18889832	0.01932783	12544.9161611	0.05388698
180	0.1	-0.21559997	-0.883	38.2	9.3	179999	-0.19640921	0.020077446	12597.3339531	0.04925321
181	0.3	-0.42578948	-0.433	27.631578	14.2	180999	-0.20828284	0.019962613	12651.192374	0.04961181
182	0.2	-0.33970585	-0.638	28.852942	64.2	181999	-0.21107715	0.020291084	12720.0035291	0.04992064
183	0.3	-0.35119998	-0.458	39.72	76.1	182999	-0.21739301	0.021314124	12792.909133	0.04933591
184	0.7	-0.08899999	0.272	49.5	33.6	183999	-0.21876624	0.022673558	12849.6583691	0.04727877
185	0.6	-0.060526308	0.149	54.210526	16.0	184999	-0.22702317	0.027919307	12900.578434	0.045920305
186	0.0	-0.22023252	-1.0	22.860466	100.0	185999	-0.27046096	0.029126441	12985.188247	0.053064905
187	0.0	-0.928	-1.0	92.8	100.0	186999	-0.27213806	0.025688678	13072.2277691	0.053504348
188	0.0	-1.0	-1.0	100.0	100.0	187999	-0.3044357	0.02625836	13154.677716	0.05036263
189	0.3	-0.9200001	-0.42600003	49.857143	72.9	188999	-0.35534957	0.027095916	13234.449342	0.052951865
190	0.0	-0.8041666	-1.0	80.583336	100.0	189999	-0.3728579	0.024090337	13318.374686	0.052294623
191	0.0	-0.81545466	-1.0	90.72727	100.0	190999	-0.3561132	0.024093434	13402.0592442	0.051696192
192	0.3	-0.5001493	-0.417	15.119403	62.1	191999	-0.33580837	0.024917495	13474.272887	0.052138574
193	0.7	0.053181812	0.356	45.272728	35.1	192999	-0.31715894	0.027464392	13534.8463631	0.049990363
194	0.6	-0.18777777	0.17500001	58.166668	43.1	193999	-0.31580657	0.029188821	13595.5170281	0.048085164
